                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     66,                 1.0594,                 1.3412,                  1.164,                0.52108,                0.70592,                0.61763,                0.45815,                0.87696,                 1.2313,                 1.1119,             0.00079201,             0.00079201,             0.00079201
                     67,                  1.048,                 1.3533,                 1.1755,                 0.5484,                0.64706,                 0.6278,                0.44435,                 1.0051,                 1.2111,                 1.1399,             0.00079021,             0.00079021,             0.00079021
                     68,                 1.0156,                 1.3333,                 1.1514,                0.53119,                0.67868,                0.63035,                0.45988,                0.90955,                 1.2649,                 1.1256,             0.00078841,             0.00078841,             0.00078841
                     69,                0.99062,                 1.3395,                  1.139,                0.44167,                0.61024,                0.53171,                 0.3941,                0.86974,                 1.4311,                 1.1073,             0.00078661,             0.00078661,             0.00078661
                     70,                  1.007,                 1.3272,                 1.1439,                0.44383,                0.68557,                0.59735,                0.45951,                0.84022,                 1.3566,                 1.0846,             0.00078481,             0.00078481,             0.00078481
                     71,                 0.9833,                 1.3232,                 1.1331,                0.49142,                0.71571,                0.61577,                0.45899,                0.87446,                  1.305,                 1.1011,             0.00078301,             0.00078301,             0.00078301
                     72,                0.96436,                 1.3373,                 1.1297,                0.56479,                0.67017,                0.68341,                0.50941,                0.88619,                  1.149,                 1.1073,             0.00078121,             0.00078121,             0.00078121
                     73,                0.98133,                 1.2986,                 1.1428,                0.57658,                0.69008,                 0.6946,                0.52494,                0.82231,                 1.0665,                 1.0886,             0.00077941,             0.00077941,             0.00077941
                     74,                0.95169,                 1.3109,                  1.136,                0.51708,                0.67111,                0.61796,                0.46327,                0.81932,                 1.1564,                 1.0976,             0.00077761,             0.00077761,             0.00077761
                     75,                0.93381,                 1.2717,                  1.133,                0.60201,                0.66674,                0.70094,                0.52973,                0.80802,                 1.1442,                 1.0886,             0.00077581,             0.00077581,             0.00077581
                     76,                0.99867,                 1.2558,                 1.1156,                0.57116,                0.73658,                 0.6957,                 0.5072,                0.94254,                 1.0973,                 1.1099,             0.00077401,             0.00077401,             0.00077401
                     77,                0.97416,                 1.2412,                 1.1257,                0.49564,                0.78358,                0.68918,                0.52324,                0.82481,                 1.2213,                 1.0715,             0.00077221,             0.00077221,             0.00077221
                     78,                 1.0024,                 1.2538,                 1.1015,                0.49269,                0.75882,                0.71323,                0.53493,                0.85886,                 1.3221,                 1.0718,             0.00077041,             0.00077041,             0.00077041
                     79,                0.97488,                 1.2387,                 1.1203,                0.55992,                0.72893,                0.70091,                0.53238,                0.82655,                 1.1585,                 1.0588,             0.00076861,             0.00076861,             0.00076861
                     80,                0.97121,                 1.2257,                 1.1117,                0.58387,                0.74329,                0.70648,                0.53384,                0.82817,                 1.1434,                 1.0719,             0.00076681,             0.00076681,             0.00076681
                     81,                0.94756,                 1.2356,                  1.101,                0.62283,                0.70527,                0.74107,                0.55546,                0.81966,                  1.023,                 1.0651,             0.00076501,             0.00076501,             0.00076501
                     82,                0.94308,                 1.1966,                 1.1021,                0.58467,                0.64457,                0.72612,                0.55321,                0.82597,                 1.0709,                 1.0525,             0.00076321,             0.00076321,             0.00076321
                     83,                0.92468,                 1.2327,                 1.0783,                0.55303,                0.74337,                0.71524,                0.53137,                0.86558,                 1.1145,                  1.082,             0.00076141,             0.00076141,             0.00076141
                     84,                0.92216,                 1.2542,                 1.0846,                0.59743,                0.71819,                0.69966,                0.52665,                0.81169,                 1.1351,                 1.0664,             0.00075961,             0.00075961,             0.00075961
                     85,                  0.902,                 1.2146,                 1.0894,                0.60481,                0.67161,                0.69505,                0.53169,                0.79583,                 1.1097,                 1.0551,             0.00075782,             0.00075782,             0.00075782
                     86,                0.91578,                 1.2048,                 1.0883,                0.56563,                0.64075,                0.63407,                0.48821,                0.78063,                 1.2276,                 1.0422,             0.00075602,             0.00075602,             0.00075602
                     87,                0.90546,                 1.2492,                  1.101,                0.56489,                0.62397,                0.68621,                0.52576,                0.78846,                 1.1437,                 1.0486,             0.00075422,             0.00075422,             0.00075422
                     88,                0.88618,                 1.1607,                 1.0919,                0.51654,                 0.7936,                 0.7423,                0.56663,                0.76829,                 1.3346,                 1.0421,             0.00075242,             0.00075242,             0.00075242
                     89,                0.91111,                 1.2049,                 1.0936,                0.50299,                0.82479,                0.75285,                0.57456,                0.78254,                  1.187,                 1.0357,             0.00075062,             0.00075062,             0.00075062
                     90,                0.94377,                 1.2292,                 1.1131,                0.57155,                0.66643,                0.65258,                0.49729,                0.83391,                 1.2585,                 1.0729,             0.00074882,             0.00074882,             0.00074882
                     91,                0.89631,                 1.1924,                 1.0815,                 0.5862,                0.71882,                0.73467,                0.56451,                0.78548,                 1.0384,                 1.0504,             0.00074702,             0.00074702,             0.00074702
                     92,                0.92941,                  1.123,                 1.0669,                0.55517,                0.74403,                0.70671,                0.54306,                0.76784,                 1.1576,                 1.0256,             0.00074522,             0.00074522,             0.00074522
                     93,                0.88011,                 1.1508,                 1.0799,                0.55798,                0.75575,                0.69187,                0.53295,                 0.7893,                 1.0491,                 1.0407,             0.00074342,             0.00074342,             0.00074342
                     94,                0.90078,                 1.1842,                 1.0799,                0.62378,                 0.7897,                0.75976,                0.57209,                0.80966,                 1.0063,                 1.0542,             0.00074162,             0.00074162,             0.00074162
                     95,                0.93582,                 1.1701,                 1.1021,                0.65404,                0.72124,                0.74342,                0.57451,                0.77753,                0.96552,                 1.0345,             0.00073982,             0.00073982,             0.00073982
                     96,                0.89845,                 1.0923,                   1.06,                0.46958,                0.76944,                0.66728,                0.51586,                0.78892,                 1.2461,                 1.0317,             0.00073802,             0.00073802,             0.00073802
                     97,                0.91474,                 1.1127,                 1.0688,                0.51608,                0.72921,                0.70479,                  0.548,                0.75415,                 1.2673,                 1.0217,             0.00073622,             0.00073622,             0.00073622
                     98,                 0.9047,                   1.14,                 1.0662,                 0.6345,                0.68516,                0.72932,                0.56145,                0.80295,                0.94904,                 1.0299,             0.00073442,             0.00073442,             0.00073442
                     99,                 0.8948,                 1.1518,                 1.0721,                0.60521,                0.73224,                0.74255,                0.57031,                0.76973,                0.91815,                 1.0178,             0.00073262,             0.00073262,             0.00073262
                    100,                0.87242,                 1.0524,                 1.0465,                0.58051,                0.75392,                0.76826,                0.59205,                0.76914,                 1.1345,                 1.0191,             0.00073082,             0.00073082,             0.00073082
                    101,                0.89723,                 1.0375,                 1.0501,                0.71626,                0.65728,                0.75577,                0.57743,                0.78324,                 1.5407,                 1.0379,             0.00072902,             0.00072902,             0.00072902
                    102,                0.88984,                 1.0529,                 1.0493,                0.68818,                0.77191,                 0.8333,                0.64359,                 0.7487,                 0.9953,                  1.017,             0.00072722,             0.00072722,             0.00072722
                    103,                0.88227,                 1.0505,                  1.064,                0.64453,                0.76454,                0.81358,                0.63325,                0.73842,                 0.9874,                 1.0138,             0.00072542,             0.00072542,             0.00072542
                    104,                0.84175,                0.96562,                 1.0514,                0.67852,                0.72418,                0.75908,                0.58494,                  0.763,                0.97569,                 1.0228,             0.00072362,             0.00072362,             0.00072362
                    105,                0.86819,                 1.0005,                 1.0673,                0.71206,                0.71034,                0.77987,                0.60174,                0.77469,                0.94099,                 1.0297,             0.00072182,             0.00072182,             0.00072182
                    106,                0.92501,                 1.1799,                 1.1011,                0.73642,                0.72373,                0.76616,                0.57588,                0.82099,                0.93278,                 1.0385,             0.00072002,             0.00072002,             0.00072002
                    107,                0.91096,                 1.0689,                 1.0545,                0.73392,                0.73619,                0.80402,                0.62341,                0.76754,                0.85811,                 1.0166,             0.00071822,             0.00071822,             0.00071822
                    108,                0.88847,                 1.0219,                 1.0645,                0.59603,                0.66265,                 0.7198,                0.56165,                 0.7522,                 1.0634,                 1.0092,             0.00071642,             0.00071642,             0.00071642
                    109,                0.90037,                 1.0217,                 1.0792,                0.57317,                0.77965,                0.76766,                0.58862,                 0.7769,                 1.0466,                 1.0134,             0.00071462,             0.00071462,             0.00071462
                    110,                0.86051,                 1.0223,                 1.0278,                0.70245,                0.75468,                0.78442,                0.59753,                0.79078,                 0.9648,                 1.0125,             0.00071282,             0.00071282,             0.00071282
                    111,                0.89142,                 1.0484,                 1.0608,                0.67702,                0.75262,                0.77645,                0.59293,                0.77012,                0.91223,                0.99685,             0.00071102,             0.00071102,             0.00071102
                    112,                0.88317,                 0.9842,                 1.0332,                0.69081,                0.68781,                0.75885,                0.56758,                0.84231,                0.91044,                 1.0163,             0.00070922,             0.00070922,             0.00070922
                    113,                0.92809,                 1.0104,                 1.0617,                0.62441,                0.69292,                0.71502,                0.55271,                  0.758,                0.97094,                 1.0044,             0.00070742,             0.00070742,             0.00070742
                    114,                0.89571,                0.98048,                  1.035,                0.72657,                 0.7059,                0.77977,                0.60011,                0.77004,                0.86524,                 1.0055,             0.00070562,             0.00070562,             0.00070562
                    115,                0.86658,                0.97614,                 1.0261,                0.70756,                0.84556,                0.85337,                0.66225,                0.74894,                0.89189,                0.99632,             0.00070382,             0.00070382,             0.00070382
                    116,                0.90739,                 1.0282,                 1.0645,                 0.7043,                0.74797,                0.82086,                0.62719,                0.75804,                 1.2014,                 1.0038,             0.00070202,             0.00070202,             0.00070202
                    117,                0.86592,                0.95303,                 1.0264,                0.62384,                0.63519,                0.69968,                0.53681,                0.80377,                 1.4484,                 1.0134,             0.00070022,             0.00070022,             0.00070022
                    118,                0.87008,                0.95251,                  1.036,                0.64403,                0.74296,                 0.7582,                0.58788,                0.73577,                 1.0315,                0.99028,             0.00069842,             0.00069842,             0.00069842
                    119,                0.84876,                0.98716,                 1.0307,                0.77963,                0.73349,                0.84323,                0.65644,                0.76001,                0.84379,                 1.0023,             0.00069662,             0.00069662,             0.00069662
                    120,                0.85635,                0.96959,                 1.0352,                0.72097,                0.72774,                0.75421,                0.58286,                0.73898,                 1.2306,                0.99777,             0.00069482,             0.00069482,             0.00069482
                    121,                0.87645,                0.93948,                 1.0337,                0.74393,                0.79475,                0.83872,                0.64009,                 0.7842,                0.91423,                 1.0118,             0.00069302,             0.00069302,             0.00069302
                    122,                 0.8562,                0.96914,                 1.0434,                0.74344,                0.73655,                0.80063,                0.62178,                0.73935,                0.83285,                 1.0041,             0.00069122,             0.00069122,             0.00069122
                    123,                0.84933,                0.92645,                 1.0459,                0.66403,                 0.7965,                0.78747,                0.62093,                0.71798,                0.78238,                0.99678,             0.00068942,             0.00068942,             0.00068942
                    124,                0.86265,                0.97392,                  1.056,                 0.8118,                0.77138,                0.84141,                0.65451,                0.72348,                 0.8475,                0.99349,             0.00068762,             0.00068762,             0.00068762
                    125,                0.83288,                0.93565,                 1.0303,                 0.7114,                0.77829,                0.83035,                0.64913,                0.73328,                 1.1114,                0.99531,             0.00068582,             0.00068582,             0.00068582
                    126,                 0.8734,                0.95473,                 1.0529,                0.73547,                0.76676,                0.80191,                0.62565,                0.72144,                 0.9382,                 0.9876,             0.00068402,             0.00068402,             0.00068402
                    127,                0.83058,                0.91978,                 1.0295,                 0.8171,                 0.7634,                  0.847,                0.65647,                0.71673,                0.73348,                0.98263,             0.00068222,             0.00068222,             0.00068222
                    128,                0.83552,                0.94381,                 1.0175,                0.77143,                0.83722,                0.83416,                0.65174,                0.71708,                0.86674,                0.97795,             0.00068042,             0.00068042,             0.00068042
                    129,                0.85587,                0.94208,                 1.0468,                0.63198,                0.67106,                0.67077,                0.51936,                0.74324,                  1.243,                0.98924,             0.00067862,             0.00067862,             0.00067862
                    130,                0.85399,                0.92007,                 1.0234,                0.71153,                 0.7115,                0.75415,                0.58066,                0.78631,                0.97735,                 1.0089,             0.00067682,             0.00067682,             0.00067682
                    131,                0.85558,                0.92452,                 1.0258,                0.73349,                0.79933,                0.85244,                0.65884,                 0.7252,                0.83266,                 0.9834,             0.00067502,             0.00067502,             0.00067502
                    132,                  0.854,                0.93372,                 1.0338,                0.82384,                0.77881,                 0.8623,                0.66352,                0.76168,                 0.8095,                0.98869,             0.00067322,             0.00067322,             0.00067322
                    133,                0.84329,                0.92083,                  1.052,                0.78223,                0.78603,                0.84443,                0.66361,                0.70675,                0.75824,                0.97898,             0.00067142,             0.00067142,             0.00067142
                    134,                0.84199,                0.86887,                 1.0199,                0.68662,                0.81091,                0.80545,                0.62021,                0.77613,                0.82227,                 1.0081,             0.00066962,             0.00066962,             0.00066962
                    135,                0.84314,                0.94967,                 1.0346,                0.77766,                0.76425,                0.85488,                0.66653,                0.72152,                  0.822,                 0.9932,             0.00066782,             0.00066782,             0.00066782
                    136,                0.80182,                0.86079,                 1.0071,                0.68774,                0.71623,                0.78563,                0.61682,                0.71531,                 1.0057,                 0.9879,             0.00066602,             0.00066602,             0.00066602
